username,course,registered_at,start_date,account_age_days,user_cohort
Faafgani,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2022-04-21 01:16:15+00:00,2025-12-18 22:00:00+00:00,1337.8637152777778,Existing User
Aqilanhein,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2025-10-17 02:18:15+00:00,2025-12-18 22:00:00+00:00,62.820659722222224,Existing User
LadyAyasophia,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2025-12-15 03:56:59+00:00,2025-12-18 22:00:00+00:00,3.7520949074074075,New User
Goldyfauhn,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2025-12-15 10:43:40+00:00,2025-12-18 22:00:00+00:00,3.4696759259259258,New User
Rani Rachman,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2025-12-14 20:43:29+00:00,2025-12-18 22:00:00+00:00,4.053136574074074,New User
Dasaptaerwin,Wikimedia_Indonesia/Wikilatih_Wikidata_Daring_untuk_Akademisi,2016-07-06 22:11:20+00:00,2025-12-18 22:00:00+00:00,3451.9921296296297,Existing User
Adhiiik,Wikimedia_Indonesia/Pemagangan_Datatek_Desember_2025,2025-12-16 03:50:45+00:00,2025-12-14 17:00:00+00:00,-1.4519097222222221,New User
Kresnaidjn,Wikimedia_Indonesia/Wikilatih_Wikidata_IDJN,2025-08-27 02:43:47+00:00,2025-08-28 22:00:00+00:00,1.8029282407407408,New User
Uuud,Wikimedia_Indonesia/Wikilatih_Wikidata_IDJN,2025-08-27 07:37:24+00:00,2025-08-28 22:00:00+00:00,1.5990277777777777,New User
Rejamaubelajar,Wikimedia_Indonesia/Wikilatih_Wikidata_IDJN,2025-08-28 02:53:18+00:00,2025-08-28 22:00:00+00:00,0.7963194444444445,New User
Jaka hb,Wikimedia_Indonesia/Wikilatih_Wikidata_IDJN,2025-08-27 09:16:10+00:00,2025-08-28 22:00:00+00:00,1.5304398148148148,New User
Yandikk,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 07:07:08+00:00,2025-10-03 22:00:00+00:00,0.6200462962962963,New User
Frenwin,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 06:17:29+00:00,2025-10-03 22:00:00+00:00,0.654525462962963,New User
Adelinavm,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-04 02:35:06+00:00,2025-10-03 22:00:00+00:00,-0.19104166666666667,New User
Abilhzn,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 06:25:36+00:00,2025-10-03 22:00:00+00:00,0.6488888888888888,New User
Hibscolony,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-04 02:45:17+00:00,2025-10-03 22:00:00+00:00,-0.19811342592592593,New User
Fauzanahsanudin,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-04 02:49:56+00:00,2025-10-03 22:00:00+00:00,-0.2013425925925926,New User
Faariskhairrudin,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-04 02:37:41+00:00,2025-10-03 22:00:00+00:00,-0.19283564814814816,New User
Hanifimaduddin,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 22:09:12+00:00,2025-10-03 22:00:00+00:00,-0.006388888888888889,New User
Dzikran,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2024-09-15 03:05:22+00:00,2025-10-03 22:00:00+00:00,383.7879398148148,Existing User
Jebbzz,Wikimedia_Indonesia/Wikilatih_WIkidata_Telkom_University_Oktober_2025,2025-10-03 06:27:07+00:00,2025-10-03 22:00:00+00:00,0.6478356481481482,New User
